Date,Close/Last,Volume,Open,High,Low,Daily Returns,Weekly Rolling Std
2014-05-06,21.23,373872650,21.49,21.59,21.23,,
2014-05-07,21.15,282128727,21.26,21.33,20.99,-0.08000000000000185,
2014-05-08,21.0,228973884,21.01,21.23,20.94,-0.14999999999999858,
2014-05-09,20.91,291068564,20.88,20.94,20.73,-0.08999999999999986,
2014-05-12,21.17,212736019,20.98,21.2,20.98,0.26000000000000156,
2014-05-13,21.21,159417936,21.14,21.23,21.1,0.03999999999999915,
2014-05-14,21.21,166020698,21.16,21.34,21.13,0.0,0.12245504520124166
2014-05-15,21.03,229710816,21.24,21.31,21.0,-0.17999999999999972,0.1172908472863196
2014-05-16,21.34,275840350,21.02,21.34,20.91,0.3099999999999987,0.1492042384180316
2014-05-19,21.59,315279314,21.35,21.69,21.33,0.25,0.21805416539846187
2014-05-20,21.6,232929331,21.59,21.66,21.45,0.010000000000001563,0.21654208872752176
2014-05-21,21.65,196739793,21.57,21.67,21.5,0.04999999999999716,0.24054501608203638
2014-05-22,21.69,200570528,21.66,21.78,21.58,0.0400000000000027,0.2534993190561029
2014-05-23,21.93,231673307,21.69,21.95,21.66,0.23999999999999844,0.28651435599369157
2014-05-27,22.34,347361701,22.0,22.35,21.99,0.41000000000000014,0.31847852585154846
2014-05-28,22.29,315174594,22.36,22.49,22.28,-0.05000000000000071,0.3248076353782399
2014-05-29,22.69,374950650,22.42,22.75,22.42,0.40000000000000213,0.4191544777173204
2014-05-30,22.61,563440415,22.79,23.01,22.46,-0.08000000000000185,0.4214430990232114
2014-06-02,22.45,368718413,22.64,22.67,22.23,-0.16000000000000014,0.36054852391216324
2014-06-03,22.77,292173443,22.45,22.81,22.44,0.3200000000000003,0.28664728616658475
2014-06-04,23.03,334940906,22.77,23.14,22.72,0.26000000000000156,0.2608137448905065
2014-06-05,23.12,303186119,23.08,23.19,22.95,0.08999999999999986,0.29678435332906683
2014-06-06,23.06,349612060,23.21,23.26,23.02,-0.060000000000002274,0.25563180367007965
2014-06-09,23.43,301181800,23.18,23.47,22.94,0.370000000000001,0.33445762775260973
2014-06-10,23.56,250252280,23.68,23.76,23.39,0.129999999999999,0.3758545818087949
2014-06-11,23.47,182114960,23.53,23.69,23.37,-0.08999999999999986,0.2872198427950872
2014-06-12,23.07,218514600,23.51,23.53,22.98,-0.3999999999999986,0.22755428447064827
2014-06-13,22.82,217626560,23.05,23.11,22.72,-0.25,0.27088918837958287
2014-06-16,23.05,141485840,22.88,23.19,22.86,0.23000000000000043,0.27637104114025646
2014-06-17,23.02,118738480,23.08,23.18,22.95,-0.030000000000001137,0.2803399297111867
2014-06-18,23.05,133258880,23.07,23.07,22.84,0.030000000000001137,0.2654197035783452
2014-06-19,22.97,141904320,23.07,23.08,22.83,-0.08000000000000185,0.19814617019236963
